mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Pedal_Gardez la Ped. jusqu'à   <sym>keyboardPedalUp</sym>	TextLine	TextLine_ra	TextLine_len
54	54	172	172	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	686																				
55	55	174	174	0.16666666666666666	0	0	Chord	6/8	1	1	1/24			1/16	2/3	687																				
55	55	1045/6	1045/6	0.16666666666666666	1/24	1/24	Chord	6/8	1	1	1/24			1/16	2/3	688																				
55	55	523/3	523/3	0.16666666666666666	1/12	1/12	Chord	6/8	1	1	1/24			1/16	2/3	689																				
55	55	349/2	349/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	690																				
55	55	524/3	524/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	691																				
55	55	1049/6	1049/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	692																				
55	55	175	175	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	693																				
55	55	701/4	701/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	694																				
55	55	351/2	351/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	695																				
55	55	703/4	703/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	696																				
55	55	176	176	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	697																				
55	55	705/4	705/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	698																				
55	55	353/2	353/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	699																				
55	55	707/4	707/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	700																				
55	55	174	174	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	701																				
55	55	175	175	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	702																				
55	55	351/2	351/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	703																				
55	55	176	176	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	704																				
55	55	353/2	353/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	705																				
56	56	177	177	0.16666666666666666	0	0	Chord	6/8	1	1	1/24			1/16	2/3	706																				
56	56	1063/6	1063/6	0.16666666666666666	1/24	1/24	Chord	6/8	1	1	1/24			1/16	2/3	707																				
56	56	532/3	532/3	0.16666666666666666	1/12	1/12	Chord	6/8	1	1	1/24			1/16	2/3	708																				
56	56	355/2	355/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	709																				
56	56	533/3	533/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	710																				
56	56	1067/6	1067/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	711																				
56	56	1069/6	1069/6	0.16666666666666666	7/24	7/24	Chord	6/8	1	1	1/24			1/16	2/3	712																				
56	56	535/3	535/3	0.16666666666666666	1/3	1/3	Chord	6/8	1	1	1/24			1/16	2/3	713																				
56	56	357/2	357/2	0.16666666666666666	3/8	3/8	Chord	6/8	1	1	1/24			1/16	2/3	714																				
56	56	536/3	536/3	0.16666666666666666	5/12	5/12	Chord	6/8	1	1	1/24			1/16	2/3	715																				
56	56	1073/6	1073/6	0.16666666666666666	11/24	11/24	Chord	6/8	1	1	1/24			1/16	2/3	716																				
56	56	179	179	0.16666666666666666	1/2	1/2	Chord	6/8	1	1	1/24			1/16	2/3	717																				
56	56	1075/6	1075/6	0.16666666666666666	13/24	13/24	Chord	6/8	1	1	1/24			1/16	2/3	718																				
56	56	538/3	538/3	0.16666666666666666	7/12	7/12	Chord	6/8	1	1	1/24			1/16	2/3	719																				
56	56	359/2	359/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24			1/16	2/3	720																				
56	56	539/3	539/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24			1/16	2/3	721																				
56	56	1079/6	1079/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24			1/16	2/3	722																				
56	56	177	177	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	723																				
56	56	178	178	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	724																				
56	56	179	179	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	725																				
56	56	359/2	359/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	726																				
56	56	355/2	355/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	727																				
56	56	178	178	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	728																				
57	57	180	180	0.16666666666666666	0	0	Chord	6/8	1	1	1/24			1/16	2/3	729																				
57	57	1081/6	1081/6	0.16666666666666666	1/24	1/24	Chord	6/8	1	1	1/24			1/16	2/3	730																				
57	57	541/3	541/3	0.16666666666666666	1/12	1/12	Chord	6/8	1	1	1/24			1/16	2/3	731																				
57	57	361/2	361/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	732																				
57	57	542/3	542/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	733																				
57	57	1085/6	1085/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	734																				
57	57	181	181	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	735																				
57	57	725/4	725/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	736																				
57	57	363/2	363/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	737																				
57	57	727/4	727/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	738																				
57	57	182	182	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	739																				
57	57	729/4	729/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	740																				
57	57	365/2	365/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	741																				
57	57	731/4	731/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	742																				
57	57	180	180	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	743																				
57	57	181	181	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	744																				
57	57	363/2	363/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	745																				
57	57	182	182	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	746																				
57	57	365/2	365/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	747																				
58	58	183	183	0.16666666666666666	0	0	Chord	6/8	1	1	1/24			1/16	2/3	748									34											
58	58	1099/6	1099/6	0.0	1/24	1/24	Dynamic	6/8	1	1	0						pp								34											
58	58	1099/6	1099/6	0.16666666666666666	1/24	1/24	Chord	6/8	1	1	1/24			1/16	2/3	749									34											
58	58	550/3	550/3	0.16666666666666666	1/12	1/12	Chord	6/8	1	1	1/24			1/16	2/3	750									34											
58	58	367/2	367/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	751		articStaccatoAbove																		
58	58	184	184	0.16666666666666666	1/4	1/4	Chord	6/8	1	1	1/24			1/16	2/3	752									35											
58	58	1105/6	1105/6	0.16666666666666666	7/24	7/24	Chord	6/8	1	1	1/24			1/16	2/3	753									35											
58	58	553/3	553/3	0.16666666666666666	1/3	1/3	Chord	6/8	1	1	1/24			1/16	2/3	754									35											
58	58	369/2	369/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	755		articStaccatoAbove																		
58	58	185	185	0.0	1/2	1/2	Spanner	6/8	1	1	0																	11								
58	58	185	185	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	756		articStaccatoAbove										11								
58	58	371/2	371/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	757		articStaccatoAbove										11								
58	58	186	186	0.5	3/4	3/4	Chord	6/8	1	1	1/8			1/8	1	758		articStaccatoAbove										11								
58	58	183	183	0.0	0	0	Spanner	6/8	2	1	0																				0					
58	58	183	183	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	759									36						0					
58	58	367/2	367/2	0.0	1/8	1/8	StaffText	6/8	2	1	0								<i>2. Ped</i>												0					
58	58	367/2	367/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4			1/4	1	760															0					
58	58	369/2	369/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	761															0					
58	58	185	185	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	762															0					
58	58	186	186	0.5	3/4	3/4	Chord	6/8	2	1	1/8			1/8	1	763															0					
59	59	373/2	373/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	764		articStaccatoAbove										11								
59	59	187	187	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	765									37			11								
59	59	1123/6	1123/6	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	766									37			11								
59	59	562/3	562/3	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	767									37			11								
59	59	375/2	375/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	768		articStaccatoAbove										11								
59	59	188	188	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	769		articStaccatoAbove										11								
59	59	377/2	377/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	770		articStaccatoAbove										11								
59	59	189	189	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	771		articStaccatoAbove										11								
59	59	373/2	373/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	772															0					
59	59	375/2	375/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	773															0					
59	59	377/2	377/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	774															0					
60	60	379/2	379/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	775												11								
60	60	190	190	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	776									38			11								
60	60	1141/6	1141/6	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	777									38			11								
60	60	571/3	571/3	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	778									38			11								
60	60	381/2	381/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	779		articStaccatoAbove										11								
60	60	191	191	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	780		articStaccatoAbove										11								
60	60	383/2	383/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	781		articStaccatoAbove										11								
60	60	192	192	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	782		articStaccatoAbove										11								
60	60	381/2	381/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	783															0					
60	60	191	191	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	784															0					
60	60	192	192	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	785															0					
60	60	379/2	379/2	1.0	0	0	Chord	6/8	2	2	1/4			1/4	1	786															0					
61	61	385/2	385/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	787		articStaccatoAbove										11								
61	61	193	193	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	788									39			11								
61	61	1159/6	1159/6	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	789									39			11								
61	61	580/3	580/3	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	790									39			11								
61	61	387/2	387/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	791		articStaccatoAbove										11								
61	61	194	194	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	792		articStaccatoAbove										11								
61	61	389/2	389/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	793		articStaccatoAbove										11								
61	61	195	195	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	794		articStaccatoAbove										11								
61	61	385/2	385/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	795															0					
61	61	387/2	387/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	796															0					
61	61	389/2	389/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	797															0					
62	62	391/2	391/2	0.0	0	0	Dynamic	6/8	1	1	0						f																			
62	62	391/2	391/2	0.0	0	0	Spanner	6/8	1	1	0																									
62	62	391/2	391/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	798		articStaccatissimoAbove																		
62	62	196	196	0.0	1/8	1/8	Dynamic	6/8	1	1	0						p																			
62	62	196	196	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	799		articStaccatoAbove																		
62	62	197	197	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	800		articAccentAbove																		
62	62	198	198	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	801		articStaccatoAbove																		
62	62	391/2	391/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	802		articStaccatissimoBelow													0					
62	62	196	196	0.0	1/8	1/8	Spanner	6/8	2	1	0																									
62	62	393/2	393/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	803		articStaccatoBelow																		
62	62	395/2	395/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	804		articStaccatoBelow																		
62	62	198	198	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	805		articStaccatoBelow																		
63	63	199	199	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	806		articStaccatoAbove																		
63	63	200	200	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	807		articStaccatoAbove																		
63	63	401/2	401/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	808		articStaccatoAbove																		
63	63	201	201	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	809		articStaccatoAbove																		
63	63	397/2	397/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	810		articStaccatoBelow																		
63	63	399/2	399/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	811		articStaccatoBelow																		
63	63	200	200	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	812		articStaccatoBelow																		
63	63	401/2	401/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	813		articStaccatoBelow																		
63	63	201	201	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	814		articStaccatoBelow																		
64	64	202	202	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	815		articStaccatoAbove																		
64	64	203	203	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	816		articAccentAbove																		
64	64	204	204	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	817		articStaccatoAbove																		
64	64	403/2	403/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	818		articAccentStaccatoBelow																		
64	64	405/2	405/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	819		articStaccatoBelow																		
64	64	407/2	407/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	820		articStaccatoBelow																		
64	64	204	204	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	821		articStaccatoBelow																		
65	65	205	205	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	822		articStaccatoAbove																		
65	65	206	206	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	823		articStaccatoAbove																		
65	65	413/2	413/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	824		articStaccatoAbove																		
65	65	207	207	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	825		articStaccatoAbove																		
65	65	409/2	409/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	826		articStaccatoBelow																		
65	65	411/2	411/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	827		articStaccatoBelow																		
65	65	206	206	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	828		articStaccatoBelow																		
65	65	413/2	413/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	829		articStaccatoBelow																		
65	65	207	207	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	830		articStaccatoBelow																		
66	66	415/2	415/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	831		articStaccatoAbove																		
66	66	208	208	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	832		articStaccatoAbove																		
66	66	417/2	417/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	833		articStaccatoAbove																		
66	66	209	209	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	834		articAccentAbove																		
66	66	419/2	419/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	835		articStaccatoAbove																		
66	66	210	210	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	836		articStaccatoAbove																		
67	67	421/2	421/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	837		articStaccatoAbove																		
67	67	211	211	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	838		articStaccatoAbove																		
67	67	423/2	423/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	839		articStaccatoAbove																		
67	67	212	212	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	840		articAccentAbove																		
67	67	425/2	425/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	841		articStaccatoAbove																		
67	67	213	213	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	842		articStaccatoAbove																		
68	68	427/2	427/2	0.0	0	0	Dynamic	6/8	2	1	0						pp																			
68	68	427/2	427/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	843		articStaccatoAbove																		
68	68	214	214	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	844		articStaccatoAbove																		
68	68	429/2	429/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	845		articStaccatoAbove																		
68	68	215	215	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	846		articStaccatoAbove																		
68	68	431/2	431/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	847		articStaccatoAbove																		
68	68	216	216	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	848		articStaccatoAbove																		
69	69	433/2	433/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	849		articStaccatoAbove																		
69	69	217	217	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	850		articStaccatoAbove																		
69	69	435/2	435/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	851		articStaccatoAbove																		
69	69	218	218	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	852		articStaccatoAbove																		
69	69	437/2	437/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	853		articStaccatoAbove																		
69	69	219	219	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	854		articStaccatoAbove																		
70	70	439/2	439/2	0.0	0	0	Dynamic	6/8	1	1	0						ff																			
70	70	221	221	0.16666666666666666	3/8	3/8	Chord	6/8	1	1	1/24			1/16	2/3	855									40											
70	70	1327/6	1327/6	0.16666666666666666	5/12	5/12	Chord	6/8	1	1	1/24			1/16	2/3	856									40											
70	70	664/3	664/3	0.16666666666666666	11/24	11/24	Chord	6/8	1	1	1/24			1/16	2/3	857																				
70	70	443/2	443/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	858																				
70	70	439/2	439/2	0.0	0	0	Spanner	6/8	2	1	0																				1					
70	70	439/2	439/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	859															1					
70	70	221	221	0.0	3/8	3/8	Spanner	6/8	2	1	0																									
70	70	443/2	443/2	0.0	1/2	1/2	Spanner	6/8	2	1	0																				2					
70	70	443/2	443/2	1.0	1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	860															2					
70	70	223	223	0.0	7/8	7/8	Spanner	6/8	2	1	0																									
71	71	447/2	447/2	0.0	0	0	Dynamic	3/4	1	1	0						other-dynamics																			
71	71	447/2	447/2	0.0	0	0	StaffText	3/4	1	1	0								<i>Plus lent</i>																	
71	71	447/2	447/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	861									41											
71	71	225	225	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	862									41											
71	71	451/2	451/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	863									41, 42											
71	71	903/4	903/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	864									41, 42											
71	71	226	226	1.0	5/8	5/8	Chord	3/4	1	1	1/4			1/4	1	865									41											
72	72	227	227	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	866									41											
72	72	228	228	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p								41											
72	72	228	228	0.0	1/4	1/4	Spanner	3/4	1	1	0														41			12								
72	72	228	228	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	867									41			12								
72	72	457/2	457/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	868									41			12								
72	72	229	229	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12			1/8	2/3	869									41			12								
72	72	688/3	688/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12			1/8	2/3	870									41			12								
72	72	689/3	689/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12			1/8	2/3	871									41			12								
72	72	230	230	0.5	3/4	3/4	Chord	3/4	1	1	1/8			1/8	1	872									41, 43			12								
73	73	461/2	461/2	0.0	0	0	Dynamic	3/4	1	1	0						mf								41											
73	73	461/2	461/2	0.0	0	0	Spanner	3/4	1	1	0														41											
73	73	461/2	461/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	873		articAccentAbove							41											
73	73	232	232	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	874									41											
73	73	465/2	465/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	875									41											
74	74	467/2	467/2	0.16666666666666666	0	0	Chord	3/4	1	1	1/24			1/16	2/3	876									41, 44											
74	74	701/3	701/3	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24			1/16	2/3	877									41, 44											
74	74	1403/6	1403/6	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24			1/16	2/3	878									41, 44											
74	74	234	234	0.0	1/8	1/8	Spanner	3/4	1	1	0														41		10									
74	74	234	234	2.0	1/8	1/8	Chord	3/4	1	1	1/2			1/2	1	879									41		10									
74	74	236	236	0.0	5/8	5/8	Spanner	3/4	1	1	0																									
74	74	236	236	1.0	5/8	5/8	Chord	3/4	1	1	1/4			1/4	1	880																				
74	74	467/2	467/2	0.5	0	0	Chord	3/4	1	2	1/8			1/4	1/2	881		articAccentBelow							45											
75	75	237	237	0.0	0	0	Dynamic	3/4	1	1	0						pp																			
75	75	237	237	0.0	0	0	StaffText	3/4	1	1	0								très																	
75	75	237	237	0.0	0	0	StaffText	3/4	1	1	0								mesuré																	
75	75	238	238	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	882																				
75	75	239	239	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	883																				
75	75	238	238	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	884																				
75	75	239	239	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	885																				
75	75	237	237	0.0	0	0	StaffText	3/4	2	1	0								2 Ped.																	
75	75	237	237	0.0	0	0	Spanner	3/4	2	1	0																				3					
75	75	237	237	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	886															3					
75	75	239	239	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	887															3					
76	76	241	241	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	888																				
76	76	483/2	483/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	889																				
76	76	242	242	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	890																				
76	76	485/2	485/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	891																				
76	76	241	241	1.5	1/4	1/4	Chord	3/4	1	2	3/8			1/4	3/2	892																				
76	76	485/2	485/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	893																				
76	76	240	240	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	894															3					
76	76	485/2	485/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	895															3					
77	77	244	244	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	896																				
77	77	245	245	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	897																				
77	77	244	244	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	898																				
77	77	245	245	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	899																				
77	77	243	243	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	900															3					
77	77	245	245	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	901															3					
78	78	247	247	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	902																				
78	78	495/2	495/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	903																				
78	78	248	248	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	904																				
78	78	497/2	497/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	905																				
78	78	247	247	1.5	1/4	1/4	Chord	3/4	1	2	3/8			1/4	3/2	906																				
78	78	497/2	497/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	907																				
78	78	246	246	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	908															3					
78	78	497/2	497/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	909															3					
79	79	501/2	501/2	0.0	3/8	3/8	StaffText	3/4	1	1	0								<i>Plus lent</i>																	
79	79	501/2	501/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4			1/4	1	910									46											
79	79	503/2	503/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	911									46											
79	79	249	249	0.0	0	0	Spanner	3/4	2	1	0																									
79	79	249	249	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	912									47											
79	79	250	250	0.0	1/4	1/4	StaffText	3/4	2	1	0								m.g.																	
79	79	250	250	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	913																				
79	79	251	251	0.0	1/2	1/2	StaffText	3/4	2	1	0								enlevez la sourdine																	
79	79	251	251	0.0	1/2	1/2	Dynamic	3/4	2	1	0						mf																			
80	80	252	252	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	914									46											
80	80	254	254	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	915									46											
80	80	1017/4	1017/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	916									46											
80	80	509/2	509/2	0.0	5/8	5/8	Spanner	3/4	1	1	0														46		11									
80	80	509/2	509/2	1.0	5/8	5/8	Chord	3/4	1	1	1/4			1/4	1	917									46		11									
