mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
181	181	0	I\\		D	VII		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
185	185	0	I.V7/iii		D	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
185	185	1/4	iii[V7/iii]		D	I	iii	V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
185	185	1/2	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
185	185	5/8	iii(+#4)		D	I		iii(+#4)	iii			+#4			m	0	0	4, 1, 5	10	4.0	4.0
186	186	0	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
186	186	3/8	iii6(+#6)		D	I		iii6(+#6)	iii		6	+#6			m	0	0	1, 5, 4	7	4.0	1.0
186	186	1/2	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
186	186	5/8	iii6(+#6)		D	I		iii6(+#6)	iii		6	+#6			m	0	0	1, 5, 4	7	4.0	1.0
187	187	0	V7/iii		D	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
187	187	1/4	iii[V7/iii]		D	I	iii	V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
187	187	1/2	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
187	187	5/8	iii(+#4)		D	I		iii(+#4)	iii			+#4			m	0	0	4, 1, 5	10	4.0	4.0
188	188	0	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
188	188	3/8	iii6(+#6)		D	I		iii6(+#6)	iii		6	+#6			m	0	0	1, 5, 4	7	4.0	1.0
188	188	1/2	V2/iii		D	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
188	188	5/8	iii6(+#6)		D	I		iii6(+#6)	iii		6	+#6			m	0	0	1, 5, 4	7	4.0	1.0
189	189	0	IVM7		D	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
189	189	1/4	ii(9)		D	I		ii(9)	ii			9			m	0	0	2, -1, 3	4	2.0	2.0
189	189	1/2	IVM7		D	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
189	189	5/8	vii%7/V		D	I		vii%7/V	vii	%	7		V		%7	0	0	6, 5, 12, 4		6.0	6.0
190	190	0	IVM7		D	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
190	190	3/8	V65(b5)/iii		D	I		V65(b5)/iii	V		65	b5	iii		Mm7	0	0	9, -1, 3, 5		5.0	9.0
190	190	1/2	IVM7		D	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
190	190	5/8	V65(b5)/iii		D	I		V65(b5)/iii	V		65	b5	iii		Mm7	0	0	9, -1, 3, 5		5.0	9.0
191	191	1/8	ii7(9)		D	I		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
195	195	0	ii7		D	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
195	195	1/8	ii65(4)		D	I		ii65(4)	ii		65	4			mm7	0	0	1, 3, 0, 2		2.0	1.0
195	195	1/4	ii65		D	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
195	195	3/8	ii(2)		D	I		ii(2)	ii			2			m	0	0	4, -1, 3		2.0	4.0
195	195	1/2	ii		D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
195	195	5/8	ii7\\		D	I		ii7	ii		7			\\	mm7	0	0	2, -1, 3, 0		2.0	2.0
196	196	0	I(b6)		D	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
196	196	3/8	I64(b6)		D	I		I64(b6)	I		64	b6			M	0	0	-4, 0, 4		0.0	-4.0
197	197	0	I(b6)		D	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
197	197	3/8	i64		D	I		i64	i		64				m	0	0	1, 0, -3		0.0	1.0
197	197	1/2	vM7		D	I		vM7	v	M	7				mM7	0	0	1, -2, 2, 6		1.0	1.0
197	197	5/8	.bII		D	I										0	0				
198	198	0	I(b6)		D	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
198	198	3/8	I64(b6)		D	I		I64(b6)	I		64	b6			M	0	0	-4, 0, 4		0.0	-4.0
199	199	0	I(b6)		D	I		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
199	199	3/8	i64		D	I		i64	i		64				m	0	0	1, 0, -3		0.0	1.0
